Category,Item,Serving Size,Calories,Calories from Fat,Total Fat,Total Fat (% Daily Value),Saturated Fat,Saturated Fat (% Daily Value),Trans Fat,Cholesterol,Cholesterol (% Daily Value),Sodium,Sodium (% Daily Value),Carbohydrates,Carbohydrates (% Daily Value),Dietary Fiber,Dietary Fiber (% Daily Value),Sugars,Protein,Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value),,
Breakfast,Egg McMuffin,4.8 oz (136 g),3,12,13,2,5,25,,26,87,75,31,31,1,4,17,3,17,1,8,25,15,36,36
Breakfast,Egg White Delight,4.8 oz (135 g),25,7,8,12,3,15,,25,8,77,32,3,1,4,17,3,18,6,8,25,8,16,16
Breakfast,Sausage McMuffin,3.9 oz (111 g),37,2,23,35,8,42,,45,15,78,33,29,1,4,17,2,14,8,8,25,1,16,16
Breakfast,Sausage McMuffin with Egg,5.7 oz (161 g),45,25,28,43,1,52,,285,95,86,36,3,1,4,17,2,21,15,8,3,15,24,24
Breakfast,Sausage McMuffin with Egg Whites,5.7 oz (161 g),4,21,23,35,8,42,,5,16,88,37,3,1,4,17,2,21,6,8,25,1,7,7
Breakfast,Steak & Egg McMuffin,6.5 oz (185 g),43,21,23,36,9,46,1,3,1,96,4,31,1,4,18,3,26,15,2,3,2,34,34
Breakfast,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",5.3 oz (150 g),46,23,26,4,13,65,,25,83,13,54,38,13,2,7,3,19,1,8,15,15,1,1
Breakfast,"Bacon, Egg & Cheese Biscuit (Large Biscuit)",5.8 oz (164 g),52,27,3,47,14,68,,25,83,141,59,43,14,3,12,4,19,15,8,2,2,39,39
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",5.4 oz (153 g),41,18,2,32,11,56,,35,11,13,54,36,12,2,7,3,2,2,8,15,1,20,20
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",5.9 oz (167 g),47,22,25,38,12,59,,35,11,142,59,42,14,3,12,4,2,6,8,15,15,55,55
Breakfast,Sausage Biscuit (Regular Biscuit),4.1 oz (117 g),43,24,27,42,12,62,,3,1,18,45,34,11,2,6,2,11,7,8,6,15,20,20
Breakfast,Sausage Biscuit (Large Biscuit),4.6 oz (131 g),48,28,31,48,13,65,,3,1,119,5,39,13,3,11,3,11,4,8,8,15,42,42
Breakfast,Sausage Biscuit with Egg (Regular Biscuit),5.7 oz (163 g),51,29,33,5,14,71,,25,83,117,49,36,12,2,6,2,18,6,8,1,2,,15
Breakfast,Sausage Biscuit with Egg (Large Biscuit),6.2 oz (177 g),57,33,37,57,15,74,,25,83,128,53,42,14,3,11,3,18,1,8,1,2,,2
Breakfast,Sausage Biscuit with Egg Whites (Regular Biscuit),5.9 oz (167 g),46,25,27,42,12,62,,35,11,118,49,34,11,2,6,3,18,7,8,8,15,,8
Breakfast,Sausage Biscuit with Egg Whites (Large Biscuit),6.4 oz (181 g),52,28,32,49,13,65,,35,11,129,54,4,13,3,11,3,18,4,8,8,15,,29
Breakfast,Southern Style Chicken Biscuit (Regular Biscuit),5 oz (143 g),41,18,2,31,8,41,,3,1,118,49,41,14,2,6,3,17,7,2,6,15,,13
Breakfast,Southern Style Chicken Biscuit (Large Biscuit),5.5 oz (157 g),47,22,24,37,9,45,,3,1,129,54,46,15,3,11,4,17,4,2,8,15,,7
Breakfast,Steak & Egg Biscuit (Regular Biscuit),7.1 oz (201 g),54,29,32,49,16,78,1,28,93,147,61,38,13,2,8,3,25,1,2,2,25,,8
Breakfast,"Bacon, Egg & Cheese McGriddles",6.1 oz (174 g),46,19,21,32,9,44,,25,84,125,52,48,16,2,9,15,19,1,1,2,15,,9
Breakfast,"Bacon, Egg & Cheese McGriddles with Egg Whites",6.3 oz (178 g),4,14,15,24,7,34,,35,11,125,52,47,16,2,9,16,2,2,1,15,1,,6
Breakfast,Sausage McGriddles,5 oz (141 g),42,2,22,34,8,4,,35,11,13,43,44,15,2,8,15,11,7,8,8,1,,
Breakfast,"Sausage, Egg & Cheese McGriddles",7.1 oz (201 g),55,28,31,48,12,61,,265,89,132,55,48,16,2,9,15,2,1,8,2,15,,
Breakfast,"Sausage, Egg & Cheese McGriddles with Egg Whites",7.2 oz (205 g),5,23,26,4,1,52,,5,17,132,55,46,15,2,9,15,21,2,8,2,1,,
Breakfast,"Bacon, Egg & Cheese Bagel",6.9 oz (197 g),62,28,31,48,11,56,1,275,92,148,62,57,19,3,11,7,3,2,15,2,2,,
Breakfast,"Bacon, Egg & Cheese Bagel with Egg Whites",7.1 oz (201 g),57,23,25,39,9,45,1,6,2,148,62,55,18,3,12,8,3,1,15,2,15,,
Breakfast,"Steak, Egg & Cheese Bagel",8.5 oz (241 g),67,31,35,53,13,63,2,295,99,151,63,56,19,3,12,7,33,2,4,25,25,,
Breakfast,Big Breakfast (Regular Biscuit),9.5 oz (269 g),74,43,48,73,17,87,,555,185,156,65,51,17,3,12,3,28,15,2,15,25,,
Breakfast,Big Breakfast (Large Biscuit),10 oz (283 g),8,47,52,8,18,9,,555,185,168,7,56,19,4,17,3,28,15,2,15,3,,
Breakfast,Big Breakfast with Egg Whites (Regular Biscuit),9.6 oz (272 g),64,33,37,57,14,69,,35,12,159,66,5,17,3,12,3,26,7,2,1,15,,
Breakfast,Big Breakfast with Egg Whites (Large Biscuit),10.1 oz (286 g),69,37,41,63,14,72,,35,12,17,71,55,18,4,17,4,26,4,2,1,15,,
Breakfast,Big Breakfast with Hotcakes (Regular Biscuit),14.8 oz (420 g),19,51,56,87,19,96,,575,192,215,9,111,37,6,23,17,36,15,2,25,4,,
Breakfast,Big Breakfast with Hotcakes (Large Biscuit),15.3 oz (434 g),115,54,6,93,2,1,,575,192,226,94,116,39,7,28,17,36,15,2,3,4,,
Breakfast,Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),14.9 oz (423 g),99,41,46,7,16,78,,55,19,217,91,11,37,6,23,17,35,7,2,25,3,,
Breakfast,Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),15.4 oz (437 g),15,45,5,77,16,81,,55,19,229,95,115,38,7,28,18,35,4,2,25,3,,
Breakfast,Hotcakes,5.3 oz (151 g),35,8,9,13,2,9,,2,7,59,24,6,2,3,1,14,8,7,8,15,15,,
Breakfast,Hotcakes and Sausage,6.8 oz (192 g),52,21,24,37,7,36,,5,17,93,39,61,2,3,1,14,15,7,8,15,15,,
Breakfast,Sausage Burrito,3.9 oz (111 g),3,15,16,25,7,33,,115,38,79,33,26,9,1,5,2,12,1,2,15,15,,
Breakfast,Hash Brown,2 oz (56 g),15,8,9,14,2,6,,,,31,13,15,5,2,6,29,1,7,2,9,2,,
Breakfast,Cinnamon Melts,4 oz (114 g),46,17,19,3,9,43,,15,5,37,15,66,22,3,11,32,6,4,8,6,15,,
Breakfast,Fruit & Maple Oatmeal,9.6 oz (251 g),29,35,4,6,2,8,,5,2,16,7,58,19,5,19,32,5,2,13,1,1,,
Breakfast,Fruit & Maple Oatmeal without Brown Sugar,9.6 oz (251 g),26,4,4,6,2,8,,5,2,115,5,49,16,5,22,18,5,2,13,6,1,,
Beef & Pork,Big Mac,7.4 oz (211 g),53,24,27,42,1,48,1,85,28,96,4,47,16,3,13,9,24,6,2,25,25,,
Beef & Pork,Quarter Pounder with Cheese,7.1 oz (202 g),52,24,26,41,12,61,2,95,31,11,46,41,14,3,11,1,3,1,2,3,25,,
Beef & Pork,Quarter Pounder with Bacon & Cheese,8 oz (227 g),6,26,29,45,13,63,2,15,34,144,6,48,16,3,12,12,37,6,15,25,3,,
Beef & Pork,Quarter Pounder with Bacon Habanero Ranch,8.3 oz (235 g),61,28,31,48,13,64,2,15,35,118,49,46,15,3,14,1,37,8,2,25,3,,
Beef & Pork,Quarter Pounder Deluxe,8.6 oz (244 g),54,25,27,42,11,54,2,85,28,96,4,45,15,3,13,9,29,1,8,25,3,,
Beef & Pork,Double Quarter Pounder with Cheese,10 oz (283 g),75,38,43,66,19,96,3,16,53,128,53,42,14,3,11,1,48,1,2,3,35,,
Beef & Pork,Hamburger,3.5 oz (98 g),24,7,8,12,3,15,,3,1,48,2,32,11,1,6,6,12,2,2,1,15,,
Beef & Pork,Cheeseburger,4 oz (113 g),29,1,11,18,5,27,1,45,15,68,28,33,11,2,7,7,15,6,2,2,15,,
Beef & Pork,Double Cheeseburger,5.7 oz (161 g),43,19,21,32,1,52,1,9,3,14,43,35,12,2,8,7,24,1,2,3,2,,
Beef & Pork,Bacon Clubhouse Burger,9.5 oz (270 g),72,36,4,62,15,75,2,115,38,147,61,51,17,4,14,14,39,8,25,3,25,,
Beef & Pork,McDouble,5.2 oz (147 g),38,15,17,26,8,4,1,75,25,84,35,34,11,2,7,7,22,6,2,2,2,,
Beef & Pork,Bacon McDouble,5.7 oz (161 g),44,2,22,34,1,49,1,9,3,111,46,35,12,2,7,7,27,6,1,2,2,,
Beef & Pork,Daily Double,6.7 oz (190 g),43,2,22,35,9,44,1,8,27,76,32,34,11,2,8,7,22,8,8,2,2,,
Beef & Pork,Jalapeño Double,5.6 oz (159 g),43,21,23,36,9,44,1,8,27,13,43,35,12,2,7,6,22,6,8,2,2,,
Beef & Pork,McRib,7.3 oz (208 g),5,24,26,4,1,48,,7,23,98,41,44,15,3,1,11,22,2,2,15,2,,
Chicken & Fish,Premium Crispy Chicken Classic Sandwich,7.5 oz (213 g),51,2,22,33,4,18,,45,16,99,41,55,18,3,13,1,24,4,6,15,2,,
Chicken & Fish,Premium Grilled Chicken Classic Sandwich,7 oz (200 g),35,8,9,13,2,9,,65,22,82,34,42,14,3,13,8,28,4,8,15,2,,
Chicken & Fish,Premium Crispy Chicken Club Sandwich,8.8 oz (249 g),67,3,33,51,9,44,,85,29,141,59,58,19,3,14,11,36,8,2,3,2,,
Chicken & Fish,Premium Grilled Chicken Club Sandwich,8.3 oz (235 g),51,18,2,31,7,36,,15,35,125,52,44,15,3,13,9,4,8,2,3,2,,
Chicken & Fish,Premium Crispy Chicken Ranch BLT Sandwich,8.1 oz (230 g),61,25,28,43,6,31,,7,24,14,58,57,19,3,13,11,32,4,2,15,2,,
Chicken & Fish,Premium Grilled Chicken Ranch BLT Sandwich,7.6 oz (217 g),45,13,15,23,5,22,,9,3,123,51,43,14,3,13,9,36,4,2,15,2,,
Chicken & Fish,Bacon Clubhouse Crispy Chicken Sandwich,10 oz (284 g),75,34,38,59,1,51,1,9,31,172,72,65,22,4,15,16,36,8,25,3,15,,
Chicken & Fish,Bacon Clubhouse Grilled Chicken Sandwich,9.5 oz (270 g),59,23,25,39,8,42,,11,37,156,65,51,17,4,15,14,4,8,3,3,15,,
Chicken & Fish,Southern Style Crispy Chicken Sandwich,5.6 oz (160 g),43,17,19,29,3,15,,45,14,91,38,43,14,2,7,7,21,4,2,15,15,,
Chicken & Fish,McChicken,5.1 oz (143 g),36,14,16,25,3,15,,35,11,8,33,4,13,2,7,5,14,7,2,1,15,,
Chicken & Fish,Bacon Cheddar McChicken,6 oz (171 g),48,22,24,38,7,35,,65,21,126,53,43,14,2,8,6,22,4,1,2,15,,
Chicken & Fish,Bacon Buffalo Ranch McChicken,5.7 oz (161 g),43,19,21,32,5,25,,5,17,126,53,41,14,2,7,6,2,2,1,15,15,,
Chicken & Fish,Buffalo Ranch McChicken,5.2 oz (148 g),36,15,16,25,3,16,,35,11,99,41,4,13,2,7,5,14,2,2,15,15,,
Chicken & Fish,Premium McWrap Chicken & Bacon (Crispy Chicken),11.1 oz (316 g),63,28,32,49,9,45,1,8,26,154,64,56,19,3,13,7,32,6,2,2,2,,
Chicken & Fish,Premium McWrap Chicken & Bacon (Grilled Chicken),10.7 oz (302 g),48,17,19,28,7,36,,95,32,137,57,42,14,3,13,6,36,6,25,2,2,,
Chicken & Fish,Premium McWrap Chicken & Ranch (Crispy Chicken),10.9 oz (310 g),61,28,31,47,8,4,1,65,21,134,56,56,19,3,14,8,27,6,15,2,2,,
Chicken & Fish,Premium McWrap Chicken & Ranch (Grilled Chicken),10.5 oz (297 g),45,16,18,27,6,31,1,8,27,117,49,42,14,3,14,6,3,6,15,15,2,,
Chicken & Fish,Premium McWrap Southwest Chicken (Crispy Chicken),11.1 oz (314 g),67,3,33,51,8,4,1,6,21,148,62,68,23,5,19,12,27,6,15,2,2,,
Chicken & Fish,Premium McWrap Southwest Chicken (Grilled Chicken),11.2 oz (318 g),52,18,2,31,6,32,,8,27,132,55,55,18,5,2,1,31,7,15,2,2,,
Chicken & Fish,Premium McWrap Chicken Sweet Chili (Crispy Chicken),10.7 oz (304 g),54,2,23,35,5,23,,5,16,126,52,61,2,3,13,14,23,6,15,8,2,,
Chicken & Fish,Premium McWrap Chicken Sweet Chili (Grilled Chicken),10.3 oz (291 g),38,9,1,15,3,14,,65,22,19,45,47,16,3,13,12,27,6,15,8,2,,
Chicken & Fish,Chicken McNuggets (4 piece),2.3 oz (65 g),19,11,12,18,2,1,,25,9,36,15,12,4,1,2,29,9,7,2,9,2,,
Chicken & Fish,Chicken McNuggets (6 piece),3.4 oz (97 g),28,16,18,27,3,15,,4,13,54,22,18,6,1,4,29,13,7,2,2,4,,
Chicken & Fish,Chicken McNuggets (10 piece),5.7 oz (162 g),47,27,3,45,5,25,,65,22,9,37,3,1,2,6,29,22,7,4,2,6,,
Chicken & Fish,Chicken McNuggets (20 piece),11.4 oz (323 g),94,53,59,91,1,5,,135,44,18,75,59,2,3,12,29,44,7,8,4,1,,
Chicken & Fish,Chicken McNuggets (40 piece),22.8 oz (646 g),188,16,118,182,2,11,1,265,89,36,15,118,39,6,24,1,87,7,15,8,25,,
Chicken & Fish,Filet-O-Fish,5 oz (142 g),39,17,19,29,4,19,,4,14,59,24,39,13,2,7,5,15,2,8,15,1,,
Salads,Premium Bacon Ranch Salad (without Chicken),7.9 oz (223 g),14,7,7,11,4,18,,25,9,3,13,1,3,3,12,4,9,17,3,15,6,,
Salads,Premium Bacon Ranch Salad with Crispy Chicken,9 oz (255 g),38,19,21,33,6,29,,7,23,86,36,22,7,2,1,5,25,1,25,15,8,,
Salads,Premium Bacon Ranch Salad with Grilled Chicken,8.5 oz (241 g),22,8,8,13,4,2,,85,29,69,29,8,3,2,1,4,29,11,3,15,8,,
Salads,Premium Southwest Salad (without Chicken),8.1 oz (230 g),14,4,5,7,2,9,,1,3,15,6,2,7,6,23,6,6,16,25,15,1,,
Salads,Premium Southwest Salad with Crispy Chicken,12.3 oz (348 g),45,19,22,33,5,22,,5,17,85,35,42,14,7,28,12,23,17,3,15,15,,
Salads,Premium Southwest Salad with Grilled Chicken,11.8 oz (335 g),29,8,8,13,3,13,,7,23,68,28,28,9,7,28,1,27,17,3,15,15,,
Snacks & Sides,Chipotle BBQ Snack Wrap (Crispy Chicken),4.6 oz (130 g),34,13,15,23,5,22,,3,11,78,33,37,12,1,6,8,14,4,8,1,1,,
Snacks & Sides,Chipotle BBQ Snack Wrap (Grilled Chicken),4.3 oz (123 g),26,7,8,13,4,18,,4,14,7,29,3,1,1,6,7,16,4,2,1,1,,
Snacks & Sides,Honey Mustard Snack Wrap (Crispy Chicken),4.3 oz (123 g),33,13,15,23,5,22,,35,11,73,3,34,11,1,5,3,14,2,8,1,1,,
Snacks & Sides,Honey Mustard Snack Wrap (Grilled Chicken),4.1 oz (116 g),25,7,8,13,4,18,,45,14,65,27,27,9,1,5,2,16,2,2,1,1,,
Snacks & Sides,Ranch Snack Wrap (Crispy Chicken),4.5 oz (128 g),36,18,2,3,5,27,,4,13,81,34,32,11,1,5,3,15,2,8,1,1,,
Snacks & Sides,Ranch Snack Wrap (Grilled Chicken),4.3 oz (121 g),28,12,13,2,5,22,,45,16,72,3,25,8,1,5,2,16,2,2,1,1,,
Snacks & Sides,Small French Fries,2.6 oz (75 g),23,1,11,17,2,8,,,,13,5,3,1,2,1,29,2,7,3,9,4,,
Snacks & Sides,Medium French Fries,3.9 oz (111 g),34,14,16,24,3,11,,,,19,8,44,15,4,14,29,4,7,45,2,4,,
Snacks & Sides,Large French Fries,5.9 oz (168 g),51,22,24,37,4,17,,,,29,12,67,22,5,22,29,6,7,7,2,8,,
Snacks & Sides,Kids French Fries,1.3 oz (38 g),11,5,5,8,1,4,,,,65,3,15,5,1,5,29,1,7,15,9,2,,
Snacks & Sides,Side Salad,3.1 oz (87 g),2,,,,,,,,,1,,4,1,1,6,2,1,45,25,2,4,,
Snacks & Sides,Apple Slices,1.2 oz (34 g),15,,,,,,,,,,,4,1,2,8,3,13,7,16,2,6,,
Snacks & Sides,Fruit 'n Yogurt Parfait,5.2 oz (149 g),15,2,2,3,1,5,,5,2,7,3,3,1,1,3,23,4,2,15,1,4,,
Desserts,Baked Apple Pie,2.7 oz (77 g),25,11,13,19,7,35,,,,17,7,32,11,4,15,13,2,4,25,2,6,,
Desserts,Chocolate Chip Cookie,1 cookie (33 g),16,7,8,12,4,19,,1,3,9,4,21,7,1,3,15,2,2,8,2,8,,
Desserts,Oatmeal Raisin Cookie,1 cookie (33 g),15,5,6,9,3,13,,1,3,135,6,22,7,1,3,13,2,2,8,2,6,,
Desserts,Kids Ice Cream Cone,1 oz (29 g),45,1,2,2,1,4,,5,2,2,1,7,2,2,8,6,1,2,8,4,6,,
Desserts,Hot Fudge Sundae,6.3 oz (179 g),33,8,9,14,7,34,,25,8,17,7,53,18,1,3,48,8,8,8,25,8,,
Desserts,Hot Caramel Sundae,6.4 oz (182 g),34,7,8,12,5,24,,3,1,15,6,6,2,2,8,43,7,1,8,25,6,,
Desserts,Strawberry Sundae,6.3 oz (178 g),28,6,6,1,4,2,,25,8,85,4,49,16,2,8,45,6,8,4,2,6,,
Beverages,Coca-Cola Classic (Small),16 fl oz cup,14,,,,,,,,,,,39,13,2,8,39,13,7,8,9,6,,
Beverages,Coca-Cola Classic (Medium),21 fl oz cup,2,,,,,,,,,5,,55,18,2,8,55,13,7,8,9,6,,
Beverages,Coca-Cola Classic (Large),30 fl oz cup,28,,,,,,,,,5,,76,25,2,8,76,13,7,8,9,6,,
Beverages,Coca-Cola Classic (Child),12 fl oz cup,1,,,,,,,,,,,28,9,2,8,28,13,7,8,9,6,,
Beverages,Diet Coke (Small),16 fl oz cup,,,,,,,,,,1,,,15,2,8,29,13,7,8,9,6,,
Beverages,Diet Coke (Medium),21 fl oz cup,,,,,,,,,,2,1,,15,2,8,29,13,7,8,9,6,,
Beverages,Diet Coke (Large),30 fl oz cup,,,,,,,,,,35,1,,15,2,8,29,13,7,8,9,6,,
Beverages,Diet Coke (Child),12 fl oz cup,,,,,,,,,,15,1,,15,2,8,29,13,7,8,9,6,,
Beverages,Dr Pepper (Small),16 fl oz cup,14,,,,,,,,,45,2,37,12,2,8,35,13,7,8,9,6,,
Beverages,Dr Pepper (Medium),21 fl oz cup,19,,,,,,,,,65,3,53,18,2,8,51,13,7,8,9,6,,
Beverages,Dr Pepper (Large),30 fl oz cup,27,,,,,,,,,9,4,72,24,2,8,7,13,7,8,9,6,,
Beverages,Dr Pepper (Child),12 fl oz cup,1,,,,,,,,,3,1,27,9,2,8,26,13,7,8,9,6,,
Beverages,Diet Dr Pepper (Small),16 fl oz cup,,,,,,,,,,7,3,,15,2,8,29,2,7,8,9,6,,
Beverages,Diet Dr Pepper (Medium),21 fl oz cup,,,,,,,,,,1,4,,15,2,8,29,3,7,8,9,6,,
